iter	Passed	Remaining
0	9	2897
1	17	2678
2	27	2680
3	38	2840
4	48	2860
5	61	2994
6	72	3015
7	84	3090
8	95	3093
9	106	3090
10	116	3070
11	127	3051
12	137	3045
13	147	3019
14	158	3006
15	168	2989
16	178	2979
17	189	2970
18	199	2953
19	211	2966
20	223	2966
21	238	3010
22	249	3005
23	260	2992
24	271	2986
25	282	2974
26	292	2961
27	304	2954
28	314	2937
29	324	2923
30	336	2921
31	346	2904
32	358	2897
33	369	2886
34	379	2869
35	389	2859
36	400	2847
37	411	2835
38	422	2825
39	433	2814
40	442	2797
41	454	2790
42	466	2786
43	476	2772
44	487	2762
45	498	2750
46	508	2735
47	515	2708
48	525	2693
49	537	2688
50	548	2679
51	559	2670
52	571	2661
53	581	2650
54	591	2635
55	602	2624
56	612	2611
57	622	2596
58	632	2584
59	643	2572
60	654	2562
61	664	2551
62	674	2537
63	685	2526
64	695	2513
65	702	2490
66	712	2478
67	723	2467
68	734	2458
69	744	2446
70	755	2436
71	766	2427
72	776	2415
73	787	2403
74	798	2394
75	808	2382
76	819	2372
77	830	2362
78	840	2349
79	850	2340
80	862	2330
81	872	2319
82	883	2309
83	893	2297
84	903	2285
85	914	2274
86	924	2263
87	934	2251
88	945	2240
89	955	2229
90	967	2221
91	979	2214
92	989	2202
93	1000	2191
94	1010	2180
95	1020	2168
96	1031	2158
97	1041	2147
98	1051	2135
99	1062	2125
100	1073	2114
101	1081	2099
102	1092	2089
103	1102	2077
104	1136	2111
105	1157	2118
106	1170	2110
107	1185	2107
108	1198	2099
109	1211	2092
110	1225	2087
111	1239	2080
112	1251	2071
113	1263	2062
114	1276	2052
115	1289	2044
116	1300	2034
117	1306	2015
118	1317	2004
119	1330	1995
120	1342	1986
121	1354	1975
122	1365	1964
123	1377	1955
124	1389	1945
125	1400	1934
126	1412	1924
127	1424	1913
128	1436	1904
129	1447	1893
130	1459	1882
131	1471	1872
132	1482	1861
133	1494	1851
134	1506	1841
135	1517	1830
136	1528	1819
137	1540	1808
138	1552	1798
139	1563	1787
140	1575	1776
141	1589	1768
142	1605	1762
143	1613	1747
144	1623	1735
145	1634	1723
146	1643	1711
147	1654	1699
148	1664	1687
149	1675	1675
150	1686	1663
151	1696	1651
152	1706	1639
153	1710	1622
154	1721	1610
155	1731	1598
156	1742	1586
157	1752	1574
158	1762	1562
159	1773	1551
160	1783	1539
161	1793	1527
162	1804	1516
163	1815	1505
164	1825	1493
165	1836	1482
166	1843	1467
167	1853	1456
168	1863	1444
169	1873	1432
170	1884	1421
171	1894	1409
172	1906	1399
173	1917	1388
174	1927	1376
175	1937	1365
176	1949	1354
177	1959	1342
178	1969	1331
179	1980	1320
180	1989	1308
181	2000	1296
182	2007	1283
183	2020	1273
184	2031	1262
185	2041	1251
186	2051	1239
187	2062	1228
188	2069	1215
189	2080	1204
190	2090	1193
191	2101	1181
192	2111	1170
193	2122	1159
194	2132	1148
195	2142	1137
196	2153	1125
197	2163	1114
198	2173	1103
199	2183	1091
200	2194	1080
201	2203	1069
202	2214	1058
203	2224	1046
204	2235	1035
205	2245	1024
206	2255	1013
207	2266	1002
208	2276	991
209	2285	979
210	2297	968
211	2308	958
212	2318	947
213	2330	936
214	2341	925
215	2352	914
216	2363	903
217	2375	893
218	2385	882
219	2393	870
220	2404	859
221	2414	848
222	2427	838
223	2437	827
224	2448	816
225	2459	805
226	2466	793
227	2476	782
228	2484	770
229	2495	759
230	2504	748
231	2515	737
232	2526	726
233	2536	715
234	2547	704
235	2558	693
236	2568	682
237	2578	671
238	2589	660
239	2599	649
240	2609	638
241	2620	627
242	2630	617
243	2640	606
244	2650	595
245	2661	584
246	2671	573
247	2681	562
248	2692	551
249	2703	540
250	2713	529
251	2723	518
252	2733	507
253	2744	496
254	2755	486
255	2765	475
256	2776	464
257	2786	453
258	2796	442
259	2807	431
260	2817	420
261	2827	410
262	2838	399
263	2848	388
264	2859	377
265	2870	366
266	2880	356
267	2891	345
268	2902	334
269	2912	323
270	2923	312
271	2933	301
272	2943	291
273	2954	280
274	2964	269
275	2975	258
276	2985	247
277	2996	237
278	3006	226
279	3018	215
280	3028	204
281	3039	193
282	3049	183
283	3060	172
284	3071	161
285	3081	150
286	3091	140
287	3102	129
288	3112	118
289	3123	107
290	3133	96
291	3143	86
292	3155	75
293	3165	64
294	3176	53
295	3187	43
296	3197	32
297	3207	21
298	3218	10
299	3228	0
